Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1924,NOR,0,21.46153846153846,178.76923076923077,72.3076923076923,5,13,0,13,0,1,12
1924,NZL,0,21.333333333333332,165.33333333333334,63.0,1,3,0,3,0,0,3
1924,POL,0,26.694915254237287,173.66101694915255,69.94915254237289,7,59,0,50,9,0,59
1924,RSA,0,31.0,175.6,61.2,2,5,0,5,0,0,5
1924,SUI,0,23.0,175.0,63.666666666666664,4,3,0,3,0,0,3
1924,SWE,0,26.59375,176.5625,69.78125,9,32,0,32,0,0,32
1924,TCH,0,21.454545454545453,175.0,71.0909090909091,0,11,0,10,1,0,11
1924,URU,0,22.0,174.83333333333334,75.0,24,6,0,0,6,0,6
1924,USA,0,24.35,177.525,71.11666666666666,142,120,0,113,7,4,116
1924,YUG,0,24.666666666666668,190.0,90.0,0,3,0,3,0,0,3
1928,ARG,0,23.0,173.1764705882353,68.17647058823529,14,17,0,10,7,0,17
1928,AUS,0,25.75,181.25,74.5,4,4,0,4,0,0,4
1928,BEL,0,31.75,180.5,81.5,0,8,0,3,5,0,8
1928,BUL,0,30.0,172.0,66.0,0,2,0,2,0,0,2
1928,CAN,0,21.571428571428573,171.57142857142858,60.6,44,35,0,33,2,12,23
1928,CHI,0,24.571428571428573,173.28571428571428,69.14285714285714,2,7,0,2,5,0,7
1928,CUB,0,24.0,181.0,70.0,0,1,0,1,0,0,1
1928,DEN,0,26.0,170.0,60.0,0,1,0,1,0,0,1
1928,EGY,0,22.0,172.0,75.0,0,1,0,0,1,0,1
1928,EST,0,23.333333333333332,175.0,81.16666666666667,2,6,0,6,0,0,6
1928,FIN,0,25.96511627906977,172.84883720930233,68.12790697674419,58,86,21,65,0,1,85
1928,FRA,0,26.09090909090909,174.6590909090909,71.8409090909091,13,44,4,37,3,4,40
1928,GBR,0,28.454545454545453,178.27272727272728,70.54545454545455,14,22,0,21,1,0,22
1928,GER,0,23.533333333333335,174.86666666666667,69.01666666666667,27,60,0,60,0,19,41
1928,GRE,0,27.0,181.66666666666666,73.33333333333333,0,3,0,3,0,0,3
1928,HAI,0,23.666666666666668,168.66666666666666,59.666666666666664,2,3,0,3,0,0,3
1928,HUN,0,25.0,186.0,88.2,2,5,0,5,0,0,5
1928,IRL,0,22.0,180.0,98.0,4,1,0,1,0,0,1
1928,ITA,0,23.72222222222222,176.88888888888889,71.72222222222223,6,18,0,16,2,0,18
1928,JPN,0,22.571428571428573,165.64285714285714,58.642857142857146,6,14,0,14,0,2,12
1928,LUX,0,26.0,169.0,68.5,0,14,14,0,0,0,14
1928,MEX,0,31.0,174.0,71.0,0,1,0,0,1,0,1
1928,MON,0,22.0,164.0,93.0,0,2,0,2,0,0,2
1928,NED,10,29.923076923076923,178.0,73.3076923076923,6,13,0,10,3,1,12
1928,NOR,0,24.75,178.8125,78.75,5,16,0,16,0,1,15
1928,NZL,0,21.0,177.0,73.0,4,3,0,3,0,0,3
1928,PHI,0,25.0,170.0,73.0,1,1,0,0,1,0,1
1928,POL,0,25.681818181818183,173.83333333333334,70.45454545454545,18,66,0,61,5,3,63
1928,POR,0,20.0,165.0,60.0,0,1,0,0,1,0,1
1928,RSA,0,22.1,180.6,71.6,4,10,0,10,0,2,8
1928,SUI,0,24.6,175.2,69.6,0,5,0,3,2,0,5
1928,SWE,0,26.40625,181.0,72.96875,10,32,0,32,0,0,32
1928,TCH,0,22.476190476190474,176.57142857142858,75.14285714285714,1,21,0,20,1,0,21
1928,URU,0,25.625,174.75,74.75,32,8,0,0,8,0,8
1928,USA,0,23.140625,179.484375,72.75,144,128,0,126,2,11,117
1928,YUG,0,24.714285714285715,173.42857142857142,69.0,0,7,0,7,0,0,7
1932,ARG,0,25.384615384615383,176.46153846153845,72.38461538461539,4,13,0,13,0,0,13
1932,AUS,0,25.2,181.6,81.8,5,5,0,5,0,0,5
1932,BEL,0,42.0,168.0,65.0,0,1,0,0,1,0,1
1932,BRA,0,23.5,179.0,69.5,0,4,0,4,0,0,4
1932,CAN,0,22.405405405405407,172.67567567567568,64.64864864864865,34,37,0,35,2,11,26
1932,DEN,0,25.0,164.0,51.0,0,1,0,1,0,0,1
1932,EST,0,35.0,165.0,66.0,0,1,0,1,0,0,1
1932,FIN,0,26.280701754385966,173.59649122807016,68.48245614035088,47,57,17,40,0,0,57
1932,FRA,0,23.75,176.625,76.16666666666667,23,24,0,23,1,0,24
1932,GBR,0,24.666666666666668,175.42857142857142,66.04761904761905,19,21,0,21,0,5,16
1932,GER,0,23.67391304347826,176.7826086956522,72.34782608695652,14,46,0,45,1,12,34
1932,GRE,0,24.0,162.0,61.0,0,1,0,1,0,0,1
1932,HAI,0,29.0,171.0,63.5,0,2,0,2,0,0,2
1932,HUN,0,26.571428571428573,183.28571428571428,86.14285714285714,4,7,0,7,0,0,7
1932,IRL,0,25.333333333333332,184.0,82.0,8,3,0,3,0,0,3
1932,ITA,0,28.214285714285715,173.42857142857142,67.5,10,14,0,14,0,0,14
